"Jun 5, 2024, 2:04:13 PM",4894,12.88
"Mar 9, 2024, 1:25:48 PM",6965,19.53
"Jan 23, 2024, 1:39:40 PM",2210,6.41
"Feb 3, 2024, 1:13:26 PM",10920,28.98
"Mar 2, 2024, 6:12:31 PM",12089,31.34
"Jan 27, 2024, 1:52:28 PM",11067,27.36
"Apr 26, 2024, 12:37:15 PM",10866,23.68
"May 24, 2024, 12:51:20 PM",9663,22.54
"Mar 24, 2024, 11:30:17 AM",13974,42.69
"Jun 14, 2024, 12:38:53 PM",22530,26.19
"Jul 11, 2024, 10:43:12 PM",779,2.61
"Jun 24, 2024, 12:00:41 AM",28213,44.50
"Nov 23, 2023, 6:38:07 PM",4272,5.96
"Apr 24, 2024, 12:45:14 PM",4639,11.27
"Feb 22, 2024, 3:57:19 PM",4259,12.78
"Jun 3, 2024, 1:37:19 PM",2850,8.19
"Apr 12, 2024, 12:46:33 PM",6886,15.27
"Mar 12, 2024, 2:42:22 PM",2093,6.45
"Apr 10, 2024, 12:26:52 PM",3787,9.69
"May 6, 2024, 12:38:21 PM",2890,8.05
"Feb 7, 2024, 3:38:13 PM",4318,12.78
"Mar 6, 2024, 3:52:47 PM",1817,5.87
"Jan 20, 2024, 7:23:46 PM",8139,21.36
"Jul 15, 2024, 2:58:55 PM",496,1.62
"May 15, 2024, 12:13:21 PM",5634,14.49
"Dec 16, 2023, 1:43:07 PM",6457,17.71
"May 8, 2024, 12:12:41 PM",4624,12.90
"Feb 17, 2024, 1:55:23 PM",11812,31.59
"Jun 7, 2024, 12:20:27 PM",8077,19.31
"May 17, 2024, 12:15:07 PM",12013,28.97
"Mar 25, 2024, 1:07:22 PM",12558,19.91
"Jul 12, 2024, 9:22:11 PM",1634,5.16
"Jan 31, 2024, 3:08:27 PM",3454,5.08
"Jun 25, 2024, 12:00:33 AM",28746,39.96
"Feb 10, 2024, 2:23:55 PM",7894,21.07
"Jul 6, 2024, 12:23:44 PM",2185,5.81
"Oct 19, 2024, 1:46:24 PM",6582,21.18
"Oct 21, 2024, 12:09:56 PM",1878,5.34
"Oct 22, 2024, 12:21:29 PM",1934,5.81
"Oct 24, 2024, 12:17:30 PM",3191,8.64
"Oct 25, 2024, 12:15:31 PM",5141,14.70
"Oct 28, 2024, 12:15:59 PM",1750,5.31
"Oct 29, 2024, 12:14:22 PM",3635,9.77
"Nov 1, 2024, 12:13:23 PM",2506,8.17
"Nov 4, 2024, 1:11:20 PM",2015,5.93
"Nov 5, 2024, 1:43:01 PM",4791,12.88
"Nov 7, 2024, 1:57:51 PM",3249,8.84
"Nov 8, 2024, 1:07:53 PM",5480,16.09
"Nov 11, 2024, 1:11:44 PM",1683,5.31
"Nov 14, 2024, 12:09:44 PM",1673,5.34
"Nov 15, 2024, 12:52:38 PM",3836,12.10
"Nov 18, 2024, 12:18:04 PM",1737,5.30
"Nov 19, 2024, 12:39:49 PM",4052,11.28
"Nov 21, 2024, 12:46:34 PM",1672,5.27
"Nov 22, 2024, 12:47:27 PM",5590,16.10
"Nov 25, 2024, 12:43:37 PM",1810,4.18
"Nov 26, 2024, 12:42:13 PM",2720,6.22
"Nov 30, 2024, 1:45:59 PM",2913,6.28
"Dec 2, 2024, 12:23:18 PM",2334,4.91
"Dec 3, 2024, 12:26:02 PM",3274,6.34
"Dec 5, 2024, 12:33:04 PM",1912,4.01
"Dec 6, 2024, 12:30:24 PM",1871,4.00
"Dec 7, 2024, 1:05:55 PM",3027,6.64
"Dec 9, 2024, 12:19:50 PM",2533,5.31
"Dec 10, 2024, 12:10:00 PM",3342,7.26
"Dec 12, 2024, 12:24:19 PM",1834,4.05
"Dec 13, 2024, 12:31:51 PM",1864,4.03
